frequency,ticker,name,latest_price,sma_value,signal,pct_vs_sma,last_date,sma_period,days_to_next_rebalance,generated_at,signal_changed
monthly,SPY,US Large Cap (S&P 500),744.78,701.479,BUY / HOLD,6.17,2026-07-31,10,26,2026-07-05,
monthly,EFA,Foreign Developed (MSCI EAFE),104.37,98.8605,BUY / HOLD,5.57,2026-07-31,10,26,2026-07-05,
monthly,IEF,US 10-Year Bonds,94.12,94.713,SELL / CASH,-0.63,2026-07-31,10,26,2026-07-05,
monthly,GSG,Commodities (GSCI),28.37,27.639,BUY / HOLD,2.64,2026-07-31,10,26,2026-07-05,
monthly,VNQ,US REITs (NAREIT),98.02,91.7871,BUY / HOLD,6.79,2026-07-31,10,26,2026-07-05,
weekly,SPY,US Large Cap (S&P 500),744.78,687.8335,BUY / HOLD,8.28,2026-07-03,43,5,2026-07-05,
weekly,EFA,Foreign Developed (MSCI EAFE),104.37,96.8346,BUY / HOLD,7.78,2026-07-03,43,5,2026-07-05,
weekly,IEF,US 10-Year Bonds,94.12,94.5568,SELL / CASH,-0.46,2026-07-03,43,5,2026-07-05,
weekly,GSG,Commodities (GSCI),28.37,26.8893,BUY / HOLD,5.51,2026-07-03,43,5,2026-07-05,
weekly,VNQ,US REITs (NAREIT),98.02,90.8012,BUY / HOLD,7.95,2026-07-03,43,5,2026-07-05,
daily,SPY,US Large Cap (S&P 500),744.78,688.7357,BUY / HOLD,8.14,2026-07-02,200,0,2026-07-05,
daily,EFA,Foreign Developed (MSCI EAFE),104.37,96.9366,BUY / HOLD,7.67,2026-07-02,200,0,2026-07-05,
daily,IEF,US 10-Year Bonds,94.12,94.5692,SELL / CASH,-0.47,2026-07-02,200,0,2026-07-05,
daily,GSG,Commodities (GSCI),28.37,26.9839,BUY / HOLD,5.14,2026-07-02,200,0,2026-07-05,
daily,VNQ,US REITs (NAREIT),98.02,90.6606,BUY / HOLD,8.12,2026-07-02,200,0,2026-07-05,
