Portfolio,CAGR%,Vol%,Sharpe,Max DD%,Calmar,Ulcer%,Win%,$1_to,Best Yr,Worst Yr,Window,% Inv
SP500 B&H,11.93,13.98,0.588,-50.78,0.235,12.13,65.3,257.9,+38.0% (1995),-36.8% (2008),Full (1977–2026),100.0
TLT B&H,5.77,18.39,0.175,-67.53,0.085,20.05,55.0,15.8,+93.5% (1982),-31.2% (2022),Full (1977–2026),100.0
50/50 B&H,9.49,11.86,0.482,-30.21,0.314,7.44,63.3,87.0,+52.8% (1982),-24.6% (2022),Full (1977–2026),100.0
SP500 Timing,11.58,10.31,0.724,-21.91,0.528,5.62,72.8,220.5,+38.0% (1995),-20.1% (2022),Full (1977–2026),76.6
TLT Timing,8.05,13.28,0.345,-24.47,0.329,9.54,67.5,45.2,+90.6% (1982),-22.4% (2009),Full (1977–2026),58.7
50/50 Timing,10.16,8.66,0.698,-12.34,0.823,3.57,69.4,117.3,+55.7% (1982),-11.6% (2022),Full (1977–2026),67.7
SP500 B&H,10.8,13.86,0.45,-50.78,0.213,13.82,63.6,39.1,+38.0% (1995),-36.8% (2008),Faber era (1977–2012),100.0
TLT B&H,7.93,20.0,0.231,-67.53,0.117,18.67,56.6,15.3,+93.5% (1982),-27.6% (1980),Faber era (1977–2012),100.0
50/50 B&H,10.12,12.45,0.435,-30.21,0.335,7.13,63.2,31.4,+52.8% (1982),-11.7% (1981),Faber era (1977–2012),100.0
SP500 Timing,12.32,10.01,0.716,-16.67,0.739,4.28,73.7,63.7,+38.0% (1995),-4.4% (2002),Faber era (1977–2012),73.4
TLT Timing,10.58,14.53,0.422,-24.09,0.439,8.22,72.3,36.4,+90.6% (1982),-22.4% (2009),Faber era (1977–2012),61.8
50/50 Timing,11.83,9.21,0.724,-12.06,0.982,3.02,70.4,54.5,+55.7% (1982),-2.7% (1990),Faber era (1977–2012),67.6
SP500 B&H,10.68,15.58,0.645,-50.78,0.21,12.5,65.5,6.9,+32.3% (2013),-36.8% (2008),Modern (2007–2026),100.0
TLT B&H,3.12,14.12,0.193,-47.61,0.066,20.44,51.5,1.8,+34.0% (2011),-31.2% (2022),Modern (2007–2026),100.0
50/50 B&H,7.47,10.08,0.633,-26.81,0.279,7.83,64.6,4.0,+23.2% (2019),-24.6% (2022),Modern (2007–2026),100.0
SP500 Timing,8.5,10.68,0.693,-21.91,0.388,7.55,68.1,4.7,+32.3% (2013),-20.1% (2022),Modern (2007–2026),75.5
TLT Timing,2.44,11.18,0.15,-24.47,0.1,12.78,52.8,1.6,+27.0% (2008),-22.4% (2009),Modern (2007–2026),52.4
50/50 Timing,5.79,7.04,0.641,-12.34,0.469,4.29,65.9,2.9,+17.0% (2020),-11.6% (2022),Modern (2007–2026),64.0
