,SP500 B&H,SP+Gold+IEF B&H,SP+Gold+IEF Timing,SP+Gold+TLT B&H,SP+Gold+TLT Timing
1973,-16.9,13.8,-4.1,,
1974,-26.1,11.2,22.1,,
1975,38.0,3.7,0.4,,
1976,22.5,11.8,13.9,,
1977,-6.3,3.9,4.4,2.1,0.0
1978,7.8,11.5,9.5,9.4,10.7
1979,18.2,38.5,33.4,33.3,36.3
1980,30.2,16.9,15.5,10.4,14.2
1981,-2.5,-8.8,2.3,-15.0,-4.2
1982,19.2,25.5,29.1,37.1,40.2
1983,23.2,2.7,3.1,-2.3,3.2
1984,4.7,0.3,3.0,1.1,6.6
1985,31.4,22.0,20.5,30.2,28.6
1986,24.1,23.6,23.6,30.7,30.7
1987,-0.1,6.7,11.3,2.0,11.9
1988,18.8,3.2,-1.0,3.5,-6.4
1989,30.2,15.4,17.6,18.6,20.8
1990,-2.4,-0.7,-4.8,-2.1,-8.3
1991,22.1,12.6,8.0,14.3,9.6
1992,15.5,4.8,5.7,5.0,4.3
1993,8.7,12.5,11.7,17.2,16.3
1994,0.4,-3.1,-3.0,-6.8,-4.1
1995,38.0,21.8,19.3,28.7,25.5
1996,22.5,5.3,6.7,3.3,3.4
1997,33.5,6.1,13.9,8.7,16.3
1998,28.7,15.0,8.0,17.7,10.4
1999,20.4,2.7,-0.3,-0.8,-1.4
2000,-9.7,1.1,3.4,3.7,5.3
2001,-11.8,-1.2,2.3,-1.3,-0.0
2002,-21.6,2.4,7.1,1.6,5.7
2003,28.2,18.8,11.6,17.5,9.3
2004,10.7,7.9,5.6,9.5,6.4
2005,4.8,7.7,4.3,9.9,6.7
2006,15.8,14.4,11.8,13.8,9.5
2007,5.1,14.3,13.4,14.3,13.4
2008,-36.8,-7.6,7.7,-3.2,11.8
2009,26.4,19.2,14.4,12.7,8.6
2010,15.1,16.3,9.0,16.5,7.4
2011,1.9,12.4,9.2,18.5,13.2
2012,16.0,7.6,3.9,7.5,3.8
2013,32.3,-2.9,7.7,-5.4,6.3
2014,13.5,7.0,3.1,12.7,7.5
2015,1.2,-2.4,-1.8,-3.3,-1.7
2016,12.0,7.1,3.6,7.3,4.5
2017,21.7,11.0,6.2,13.4,7.4
2018,-4.6,-1.2,-2.0,-1.9,-5.0
2019,31.2,19.2,11.1,21.6,13.4
2020,18.3,18.8,17.2,21.9,20.0
2021,28.7,6.6,6.5,6.2,6.5
2022,-18.2,-10.7,-7.6,-16.6,-8.2
2023,26.2,14.0,3.9,13.8,4.2
2024,24.9,17.9,17.2,15.1,13.0
2025,17.7,28.0,24.3,26.5,21.7
2026,10.1,2.9,-0.6,3.3,-0.4
