Window,Freq,Portfolio,Strategy,Start,End,Years,CAGR%,Vol%,Sharpe,MaxDD%,Calmar,%Invested
Modern (2007-2025),monthly,5-asset,B&H,2007-05-31,2025-12-31,18.6,4.73,12.84,0.324,-46.56,0.102,
Modern (2007-2025),monthly,5-asset,Timing,2007-05-31,2025-12-31,18.6,4.73,6.7,0.527,-10.6,0.447,65.9
Modern (2007-2025),monthly,4-asset (no VNQ),B&H,2007-05-31,2025-12-31,18.6,4.37,11.74,0.313,-42.72,0.102,
Modern (2007-2025),monthly,4-asset (no VNQ),Timing,2007-05-31,2025-12-31,18.6,4.76,6.32,0.559,-12.77,0.373,66.0
Modern (2007-2025),weekly,5-asset,B&H,2007-06-01,2026-01-02,18.6,4.99,14.03,0.323,-49.64,0.101,
Modern (2007-2025),weekly,5-asset,Timing,2007-06-01,2026-01-02,18.6,4.25,7.39,0.421,-13.33,0.319,66.1
Modern (2007-2025),weekly,4-asset (no VNQ),B&H,2007-06-01,2026-01-02,18.6,4.48,12.47,0.308,-44.87,0.1,
Modern (2007-2025),weekly,4-asset (no VNQ),Timing,2007-06-01,2026-01-02,18.6,4.46,7.05,0.468,-12.68,0.352,66.1
Modern (2007-2025),daily,5-asset,B&H,2007-05-30,2025-12-31,18.6,5.17,15.32,0.32,-48.62,0.106,
Modern (2007-2025),daily,5-asset,Timing,2007-05-30,2025-12-31,18.6,4.22,7.38,0.421,-13.44,0.314,66.1
Modern (2007-2025),daily,4-asset (no VNQ),B&H,2007-05-30,2025-12-31,18.6,4.62,13.31,0.308,-45.06,0.103,
Modern (2007-2025),daily,4-asset (no VNQ),Timing,2007-05-30,2025-12-31,18.6,4.68,7.18,0.493,-10.92,0.428,66.3
Out-of-sample (2006-2012),monthly,5-asset,B&H,2006-01-31,2012-12-31,6.9,4.02,15.48,0.235,-46.56,0.086,
Out-of-sample (2006-2012),monthly,5-asset,Timing,2006-01-31,2012-12-31,6.9,6.3,7.87,0.623,-10.6,0.595,66.2
Out-of-sample (2006-2012),monthly,4-asset (no VNQ),B&H,2006-01-31,2012-12-31,6.9,2.84,13.58,0.163,-42.72,0.067,
Out-of-sample (2006-2012),monthly,4-asset (no VNQ),Timing,2006-01-31,2012-12-31,6.9,5.55,7.1,0.582,-12.77,0.435,64.9
Out-of-sample (2006-2012),weekly,5-asset,B&H,2006-01-06,2013-01-04,7.0,4.32,17.04,0.296,-49.64,0.087,
Out-of-sample (2006-2012),weekly,5-asset,Timing,2006-01-06,2013-01-04,7.0,5.13,9.05,0.527,-13.33,0.385,65.8
Out-of-sample (2006-2012),weekly,4-asset (no VNQ),B&H,2006-01-06,2013-01-04,7.0,3.05,14.8,0.235,-44.87,0.068,
Out-of-sample (2006-2012),weekly,4-asset (no VNQ),Timing,2006-01-06,2013-01-04,7.0,4.01,8.11,0.447,-12.68,0.316,64.7
Out-of-sample (2006-2012),daily,5-asset,B&H,2006-01-03,2012-12-31,7.0,4.82,19.71,0.305,-48.62,0.099,
Out-of-sample (2006-2012),daily,5-asset,Timing,2006-01-03,2012-12-31,7.0,4.81,8.83,0.506,-13.44,0.358,65.5
Out-of-sample (2006-2012),daily,4-asset (no VNQ),B&H,2006-01-03,2012-12-31,7.0,3.27,16.28,0.24,-45.06,0.073,
Out-of-sample (2006-2012),daily,4-asset (no VNQ),Timing,2006-01-03,2012-12-31,7.0,4.23,8.21,0.472,-10.92,0.388,64.7
Full paper (1973-2012),monthly,5-asset,B&H,1973-01-31,2012-12-31,39.9,9.05,10.58,0.387,-46.56,0.194,
Full paper (1973-2012),monthly,5-asset,Timing,1973-01-31,2012-12-31,39.9,10.37,7.23,0.695,-10.6,0.978,37.2
Full paper (1973-2012),monthly,4-asset (no VNQ),B&H,1973-01-31,2012-12-31,39.9,8.75,10.1,0.374,-42.72,0.205,
Full paper (1973-2012),monthly,4-asset (no VNQ),Timing,1973-01-31,2012-12-31,39.9,10.27,7.1,0.694,-12.77,0.804,43.1
Full paper (1973-2012),weekly,5-asset,B&H,1993-02-05,2013-01-04,19.9,8.46,15.59,0.582,-49.64,0.17,
Full paper (1973-2012),weekly,5-asset,Timing,1993-02-05,2013-01-04,19.9,6.01,10.28,0.595,-38.55,0.156,37.4
Full paper (1973-2012),weekly,4-asset (no VNQ),B&H,1993-02-05,2013-01-04,19.9,7.85,14.73,0.569,-44.87,0.175,
Full paper (1973-2012),weekly,4-asset (no VNQ),Timing,1993-02-05,2013-01-04,19.9,5.68,10.01,0.578,-38.55,0.147,40.0
Full paper (1973-2012),daily,5-asset,B&H,1993-02-01,2012-12-31,19.9,8.83,17.39,0.56,-48.62,0.182,
Full paper (1973-2012),daily,5-asset,Timing,1993-02-01,2012-12-31,19.9,7.16,10.89,0.67,-23.56,0.304,37.2
Full paper (1973-2012),daily,4-asset (no VNQ),B&H,1993-02-01,2012-12-31,19.9,8.1,16.06,0.55,-45.06,0.18,
Full paper (1973-2012),daily,4-asset (no VNQ),Timing,1993-02-01,2012-12-31,19.9,7.04,10.73,0.668,-23.56,0.299,39.9
